"Kategori","Nama","Khasiat"
"Jamu Pasutri","empot-empot ayam super","Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Mengencangkan kembali otot² kewanitaan setelah melahirkan, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas"
"Jamu Pasutri","galian rapet awet muda","Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Dapat dikonsumsi oleh gadis / remaja, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas"
"Jamu Pasutri","serbuk nikmat surga","Menambah rasa kenikmatan dalam bersetubuh, Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Menghilangkan bau tidak sedap pada bagian kewanitaan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas"
"Jamu Kesehatan","Bedak madu","Mengangkat sel² kulit mati, Mencegah timbulnya jerawat, Menghilangkan flek hitam di wajah, Menghilangkan mata panda, menghilangkan biang keringat"
"Jamu Kesehatan","Gemuk Sehat","Menambah nafsu makan, Membersihkan jerawat, Menghaluskan kulit, Menghilangkan bau mulut dan bau badan, Membuat tubuh padat berisi (montok), Menambah semangat kerja"
"Jamu Perawatan Kewanitaan","Montok Payudara","Membuat tubuh montok dan berisi, Melangsingkan dan menyingsetkan tubuh, Mengencangkan payudara, Menghilangkan pegal² dan kecapean, Menambah semangat kerja, Menggantikan sel² kulit mati dengan segera, Kulit menjadi halus dan berseri"
"Jamu Kesehatan","Peluntur Lemak","Melarutkan lemak dalam tubuh, Mengurangi nafsu makan, Menyusutkan lemak perut, Menurunkan kolesterol, Melancarkan BAB"
"Jamu Pasutri","empot-empotan","Mengobati keputihan, Menyehatkan / menyingsetkan badan, Menambah gairah hubungan suami-istri, Mengobati gatal² dan menghilangkan bau badan dan bau mulut, Cocok bulanan, Menguatkan otot² muda kembali"
"Jamu Pasutri","Kuat Semangat Helbeh Mutiara","Mengatasi lemah syahwat, sakit pinggang, rematik, encok dll, Helbeh mutiara ini merangsang otot dan syaraf yang lemah pada seluruh organ tubuh, Menghilangkan jantung berdebar, letih, lesu, dan asam urat, Menghilangkan nyeri tulang dan tambah darah"
"Jamu Pasutri","jamu kuat Helbeh Mutiara","Menghilangkan rasa letih, Menambah tenaga /energi, Mengobati lemah syahwat, Mengobati jantung berdebar, Menghilangkan sakit pinggang, Menghilangkan rematik/encok, Mengurangi asam urat, Menghancurkan batu ginjal"
"Jamu Pasutri","jamu kuat pria dewasa semalam di madura","meningkatkan stamina dan daya tubuh pria saat berhubungan intim"
"Jamu Kesehatan","jamu helbeh semangat ramuan herbal madura","menguatkan badan, mencerdaskan otak, mencegah reumatik, menambah semangat, menyembuhkan batuk asma, menyembuhkan sakit pinggang"
"Jamu Kesehatan","jamu sariwangi ramuan madura","untuk membantu menghilangkan bau mulut dan bau badan pada pria dan wanita, produk sari wangi ini merupakan jamu herbal yang bisa membantu menghilangkan bau mulut, bau badan dan keringat serta bau yang keluar dari tubuh manusia, dan juga bau yang keluar dari mulut yang bersumber dari perut dan pencernaan."
"Jamu Kesehatan","Serimpang","untuk kesehatan tubuh, membuat badan menjadi fresh kembali"
"Jamu Perawatan Kewanitaan","Lancar darah","untuk melancarkan keluarnya darah pada waktu dan masa datang bulan, mencegah dan mengurangi sakit perut, sakit pinggang, pusing, dan nyeri yang timbul pada masa datang bulan"
"Jamu Perawatan Kewanitaan","jamu tradisional madura kecantikan","menjaga agr badan tetap sehat, segar, awet muda dan mencegah timbulnya jerawat, melangsingkan tubuh dan mengencangkan tubuh, mengurangi bau badan"
"Jamu Perawatan Kewanitaan","jamu gendong klasik madura(JKM)","Menjaga kebersihan Miss V, Mencegah keputihan, Menghilangkan bau tak sedap, Menghilangkan gatal - gatal, Mengurangi lendir berlebih, Merapatkan miss V, Empot - Empot, Membuat Miss V lebih keset dan harum, Mengencangkan otot - otot Miss V, Cocok untuk ibu menyusui, Melancarkan HAID, Mendetox kotoran yg ada pada rahim"
"Jamu Kesehatan","ramuan tradisional madura","asma, reumatik, tekanan darah tinggi, kencing manis, kencing batu, ginjal, amandel, tumor, migrain, lever alergi mag, mag, lemah jantung, exim, kurang nafsu makan, kurang darah,  asam urat"
"Jamu Kesehatan","jamu sehat bugar","Membantu menyembuhkan, Asma, Sebagai obat Reumatik, Bisa mengobati Tekanan, Darah Tinggi, Dapat membantu menyembuhkan, Kencing Manis (diabetes), Dapat membantu menyembuhkan Kencing Batu, Bisa Membantu menyembuhkan Penyakit, Ginjal, Membantu menyembuhkan Amandel, Membantu Menyembuhkan,Tumor, Dapat membantu menyembuhkan, Migrain (sakit kepala), Bisa membantu menyembuhkan, Lever atau hepatitis, Dapat membantu menyembuhkan, Alergi, Bisa membantu menyembuhkan, Menyembuhkan Mag, Dapat membantu menyembuhkan, Lemah Jantung, Membantu , Mengobati Eksim (penyakit kulit), Menambah Nafsu makan, Bisa membantu menyembuhkan Kurang darah, Bisa membantu menyembuhkan Lemah, Syahwat, dan Dapat membantu menyembuhkan Asam Urat"
"Jamu Kesehatan","galian singset (susut perut)","untuk mengurangi lemak dalam tubuh"
"Jamu Pasutri","super empot","Mengencangkan kembali otot otot kewanitaan, Mengurangi lendir berlebihan pada daerah kewanitaan, Memberikan kepuasan hubungan suami istri, Menjaga kesehatan wanita, Menjaga agar awet muda."
"Jamu Perawatan Kewanitaan","super rapet","membantu mengurangi lendir"
"Jamu Perawatan Kewanitaan","JAMU PEGEL LINU","mengatasi gatal2 dan bau yg kurang sedap pada wanita"
"Jamu Pasutri","galian rapet","rapat mencengkram saat berhubungan intim.hingga melestarikan hubungan suami istri "
"Jamu Perawatan Kewanitaan","jamu dalimah putih","dan selalu awet muda bagi perempuan"
"Jamu Kesehatan","GALIAN SEHAT / MONTOK","Pil jamu ramuan Madura untuk wanita / pria yang kurang nafsu makan, berbadan kurus, muka pucat, sering sakit, badan lemah dan lain-lain. Minumlah jamu ini secara teratur supaya badan jadi sehat, segar dan montok padat berisi."
"Jamu Kesehatan","minyak zaitun","Mangencangkan dan menghaluskan kulit muka dan seluruh tubuh (kulit bersisik, pecah-pecah dan kasar), dan sebagai pengganti pelembab dan bisa juga untuk minyak urut/pijat baik untuk dewasa dan anak/bayi."
"Jamu Pasutri","super pria","Menyembuhkan lemah syahwat dan impotensi pada laki laki, Menambah gairah bagi pria."
"Jamu Perawatan Kewanitaan","empot v","mampu melancarkan menstruasi, mengecangkan kulit, mengatasi payudara kendur, mengencangkan miss-v, mengobati kista, mencegah kanker payudara, menguatkan pinggang, membersihkan bakteri dan jamur pada miss-v (keputihan)"
"Jamu Perawatan Kewanitaan","galian montok","mampu mengencangkan dan membesarkan payudara, menjaga tubuh ideal, mengencangkan dan menghaluskan kulit agar tetap awet muda"
"Jamu Perawatan Kewanitaan","harum asmara","Merapatkan & melunturkan miss v, mengatasi bau tidak sedap, serta gatal gatal di organ intim, mengatasi cairan berlebihan, mengharumkan area vagina, menyembuhkan keputihan"
"Jamu Perawatan Kewanitaan","Jamu sehat wanita","Menambah stamina, menjaga kesehatan tubuh khusus wanita"
"Jamu Perawatan Kewanitaan","galian singset","Mengurangi kelebihan lemak pada bagian perut, paha dan kaki. Mengecilkan Perut dan Menjaga bentuk tubuh Ideal ,Meningkatkan hormon tubuh pada bagian kewanitaan.  Mencerahkan, menyegarkan kulit dan Mengencangkan kulit  Menjaga Penampilan selalu Awet Muda, Menghilangkan aroma badan yang tidak sedap sehingga tubuh jadi harum dan wangi ,Membuat tampil seksi & percaya diri"
"Jamu Perawatan Kewanitaan","penyubur ","menguatkan rahim, menambah hormon menyuburkan kandungan"
"Jamu Perawatan Kewanitaan","bersalin kapsul","Mempercepat penyembuhan luka melahirkan, Membersihkan rahim, Mengurangi bau tak sedap, Memulihkan stamina & vitalitas,Kulit kendor jadi singset,Organ Kewanitaan kembali RAPET & KESET"
"Jamu Perawatan Kewanitaan","bersalin bubuk"," Menuntaskan darah kotor. ,Menyehatkan ibu dn bayi yg dilahirkan , Melancarkan asi *Dll"
"Jamu Perawatan Kewanitaan","jamu paket penganten","mengharumkan bau badan, mengurangi keringat berlebihan, menyembuhkan keputihan, mengencangkan otot kewanitaan."
"Jamu Kesehatan","lulur susu","Membantu memutihkan, menghaluskan serta membersihkan dan mengharumkan kulit tubuh anda secara alami."
"Jamu Perawatan Kewanitaan","vitmil","Membantu memelihara kesehatan wanita dan membantu menyegarkan badan"
"Jamu Perawatan Kewanitaan","Jamu singset","Membikin singset, Merapetkan, Melangsingkan, Menyehatakan Badan"
"Jamu Perawatan Kewanitaan","Parem Bangkes","Untuk mengembalikan kulit kendur wanita , dan menghangatkan, untuk kecantikan wanita"
"Jamu Perawatan Kewanitaan","Jamu Pejja","memperlancar produksi ASI, mengembalikan organ reproduksi seperti sebelum hamil, menyehatkan ibu dan bayi serta membuat ibu yang baru melahirkan tetap awet muda"
"Jamu Perawatan Kewanitaan","Ganita-V (Rukun Wanita)","Membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, untuk para ibu yang sering mengalami kegagalan dalam berhubungan seperti keputihan, kelelahan, stress dll. Menghilangkan bau yang tidak enak, mengencangkan otot kewanitaan dan menyembuhkan keputihan"
"Jamu Perawatan Kewanitaan","Lancar Bulan (Nifas/Pluntur)","Membantu melancarkan nyeri haid dan meredakan nyeri haid."
"Jamu Perawatan Kewanitaan","Sepet Wangi (Sari Wangi)","Membantu mengurangi lendir berlebih di area kewanitaan. Menghilangkan bau badan yang ditimbulkan dari keringat, menghilangkan bau mulut, menyuburkan pertumbuhan kulit."
"Jamu Pasutri","GL- Rapet Madura ( Galian Rapet)","Mengatasi bau badan, Membantu mengurangi keputihan, menghilangkan lendir dan bau tidak enak pada area kewanitaan. Merapkan dan mengecilkan vagina. Manambah gairah sex."
"Jamu Perawatan Kewanitaan","Bengkes (Empot - Empot)","Mmebantu menyegarkan badan, membantu mengurangi lendir berlebih pada area kewanitaan."
"Jamu Perawatan Kewanitaan","Wangibungai (Keputihan)","membantu mengurangi lendir yang berlebihan pada daerah kewanitaan."
"Jamu Kesehatan","Sehat Lelaqi","Membantu menyehatkan badan dan meredakan pegal linu, nyeri otot pingang, melancarkan peredaran darah."
"Jamu Perawatan Kewanitaan","Timung Penganten","Untuk Menyegarkan dan mengharumkan Tubuh Wanita"
"Jamu Perawatan Kewanitaan","Sabun Sari Rapet","Menjaga kebersihan Vagina"
"Jamu Perawatan Kewanitaan","Majasmara","mengencangkan wajah dan kulit, Mengenacangkan payudara, Mengencangkan otot-otot kewanitaan, Melancarkan haid."
"Jamu Kesehatan","Minyak Jinten Hitam","Meningkatkan kekebalan Tubuh terhadap penyakit, mengobati rematik, mengobati asma."
"Jamu Kesehatan","Minyak Zaitun","Meredakan Batuk, Memperkuat stamina dan mencegah kanker, mengobati kencing manis, mencegah ganguan pencernaan, mengobati cacing dalam perut,."
"Jamu Perawatan Kewanitaan","Propolis","Meningkatkan Kekebalan Tubuh, melancarkan peredaran darah, menambah sistem hormon, untuk kesuburan wanita."
"Jamu Perawatan Kewanitaan","Lulur Hitam Tradisional","Mencerahkan kulit wanita, Menghaluskan Kulit, Menghulangkan Flek hitam pada wajah, Menghilangkan Stretch mark"
"Jamu Perawatan Kewanitaan","Empot Ayam Madura Super","Membantu memperkuat Otot2 vagina, membuat denyut2 nikmat dan istimewa pada vagina , membantu mengeraskan otot vagina, supaya tidak longgar, memnbantu mengurangi keputihan dan gatal gatal pada alat kelamin wanita"
"Jamu Pasutri","Tongkat Asli madura Premium Rose","Mengangkat Lendir dan kotoran yang ada di dalam miss V, menjadikan miss V rapat, kencang dan bersih, mengatasi keputihan , memperkuat otot-otot kewanitaan, Menghilanggkan gatal-gatal akubat jamur, memuaskan psangan"
"Jamu Kesehatan","Bikin Gemuk","Menambah berat badan"
"Jamu Perawatan Kewanitaan","Spray Virgin (Madura asmara spray)","Merapatkan dan mengharumkan miss V, sehingga seperti perawan kembali, membantu mengurangi lendir berlebih dan bau tidak sedap."
"Jamu Perawatan Kewanitaan","Dupa (Ratus)","Campuran mandi rempah, Bisa digunakan untuk gurak Vagina"
"Jamu Pasutri","Sehat lelaki","Menjaga agar tubuh tidak mudah lelah,  Melancarkan peredaran darah, melancarkan keharmonisan saat berhubungan"
"Jamu Perawatan Kewanitaan","Jamu Galian Parem (Parem Tabuk)","Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan."
"Jamu Kesehatan","Black Garlic (Bawang Hitam Tunggal)","Menjaga kesehatan jantung, memperbaiki metabolisme tubuh, meningkatkan imunitas tubuh, mengurangi resiko kanker, tinggi antioksidan, menurunkan kadar kolestrol, mengontrol gula, mencegah penuaan, melindungi dari infeksi"
"Jamu Pasutri","Jamu Jakula","Menambah kejantanan dan kekuatan Sex, Mempercepat Ereksi Lemah Syahwat, Mengobati Ejakulasi Dini, Menambah Frekuensi Hubungan Intim & Tahan Lama"
"Jamu Pasutri","Sehat Laki-Laki (Perkasa)","Menambahkan Stamina dalam berhubungan bagi laki-laki, Menambah Hormon, mengentalkan Sperma, Mencegah Ejakulasi Dini."
"Jamu Pasutri","Helbeh Mutiara (Jamu Kuat)","Menambah Stamina Pria saat berhubungan, Mengatasi Ejakulasi Dini, menambahkan Gairah Tubuh Saat Berhubungan, Membengkitkan Napsu saat berhubungan."
"Jamu Perawatan Kewanitaan","Jamu tradisional madura sehat","Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan."
"Jamu Kesehatan","Ramuan Ummi Jafir","Menyegarkan badan, melancarkan pencernaan, menguatkan imun, dan menghangatkan badan"
"Jamu Kesehatan","Jamu Sakera","Menurunkan gula darah, kolesterol, dan trigliserida, mengendalikan hypertensi, meningkatkan kesehatan jantung, meningkatkan kesehatan ginjal, menurunkan asam urat, menccegah kanker, meningkatkan imun, dll"
"Jamu Pasutri","Lanange Jagad","Memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari"
"Jamu Perawatan Kewanitaan","Kuncup wangi","Anti keputihan dan lendir, anti bau tk sedap di badan dan miss v, merpatkan otot miss v, anti septik dan anti bakteri, menghilangkan gatal miss v"
"Jamu Pasutri","Sakera Ramuan Pria Dasyat","Meningkatkan gairah sex, memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari"
"Jamu Kesehatan","Jamu Wiraraja","Meningkatkan kesegaran badan, memulihkan stamina, dan melancarkan peredaran darah"
"Jamu Perawatan Kewanitaan","Manjavikan","Mengatasi keputihan, melancarkan haid, mengtasi nyeri haid, melancarkan asi, membantu promil, merapatkan miss v"
"Jamu Perawatan Kewanitaan","Rukun Wanita (Sorga)","Baik untuk ibu yang sering mengalami kegelapan dalam berhubungan suami istri, Menghilangkan bau yang tidak sedap pada miss V, Mengencangkan Otot kewanitaan"
"Jamu Pasutri","Madu Asmara Spray (Kecil)","Menghilangkan keputihan, Merapatkan miss v seketika, miss v jadi harum menggoda untuk pasangan pasutri"
"Jamu Pasutri","Bubuk Madu Asmara","Untuk Pasangan suami istri, membuat miss v keset rapet, membuat suami tahan lama"
"Jamu Pasutri","Jantala (Tahan Lama)","Membuat tahan lama dalam berhubungan suami istri, dan meningkatkan stamina suami"
"Jamu Pasutri","Harumita","Mengencangkan kembali otot otot kewanitaan, Mengurangi lendir berlebihan pada daerah kewanitaan, Memberikan kepuasan hubungan suami istri, Menjaga kesehatan wanita, Menjaga agar awet muda."
"Jamu Pasutri","sari rapet","menambah kenikmatan dalam Hubungan suami istri, memberikan kebahagiaan suami istri, Menghilangkan rasa gatal dan bau pada Miss V"
"Jamu Pasutri","Bubuk Asmara","Membuat tahan lama saat bercinta untuk suami istri"
"Jamu Pasutri","Jamu Ratu Madura","Membuat vagina rapet seperti perawan, menghilangkan becek berlebihan, menambah gairah seksual, menjepit saat berhubungan"
"Jamu Kesehatan","Jamu Wasir","Mengobati sakit wasir atau ambeien ( ambeyen ) dan akibatnya, hingga sembuh total"
"Jamu Pasutri","Jamu Super Pengental Sperma","Menambahkan dan meningkatkan kualitas sprema dalam berhubungan suami istri, menjadikan ereksi lebih kuat, sperma lebih deras saat keluar"
"Jamu Kesehatan","Jamu Super Rasa Kopi","Asma, Asam Urat, Maag, Amandel, Kencing manis, Eksim ,Darah Tinggi."
"Jamu Pasutri","Jamu Khusus Penganten","mengharumkan dan menyegarkan badan serta menghilangkan kelesuan dan memberikan kekuatan baru, membuat muka tidak pucat dan menambah gairah pengantin baru. "
"Jamu Kesehatan","Jamu Asam Urat","untuk menyembuhkan nyeri pada persendian, bengkak merah dan rasa panas yang disebabkan kelebihan asam urat,  badan merasa letih, lesu , lemah dll."
"Jamu Pasutri","Sehat Pria /Perkasa (Tambah Syahwat)","Menyembuhkan lemah syahwat dan impetensi pada laki laki. -Menambah gairah bagi pria saat berhubungan suami istri."
"Jamu Pasutri","Godokan Rapet Wangi"," memberi kepuasan hubungan suami istri, mengesadkan peranakan, bisa untuk perawatan jamu pengantin"
"Jamu Pasutri","Jamu Kuat Apatheng","Meningkatkan gairah sex, menambah daya tahan pria, memperlancar peredaran darah terutama area pria sehingga lebih sehat dan kuat, mencegah penyakit kelamin, mengatasi sakit pinggang, pegal linu dll"
"Jamu Pasutri","Jamu Gingseng  Lanange","Untuk Pasangan Suami istri, Memperebaiki ejakulasi dini, Memberi kekuatan lebih, Tahan Lama berhari hari"
"Jamu Pasutri","Kapsul MM","Membangkitkan Gairah libido laki-laki, Mengobati impontensi, Mengencangkan Ereksi, Tahan Lama mampu berualng-ulang"
"Jamu Pasutri","Kapsul Herbal ","pria perkasa lebih kuat dan Lebih tahan lama , Aman tanpa efek samping , Siap tempur sampek subuh"
"Jamu Pasutri","Jamu melak medem","Menyembuhkan keputihan , merapatkan miss v ,  membuat nikmat hubungan suami istri , mengencangkan bagian intim saat berhubungan"
"Jamu Pasutri"," Serbuk kuat & Tahan Lama suramadu","Menambah Stamina & Daya Tahan Sex, Mencegah Ejakulasi Dini."
